start,end,load
2021-01-04 00:00:00-05:00,2021-01-04 01:00:00-05:00,68985.33
2021-01-04 01:00:00-05:00,2021-01-04 02:00:00-05:00,67731.81
2021-01-04 02:00:00-05:00,2021-01-04 03:00:00-05:00,67179.16
2021-01-04 03:00:00-05:00,2021-01-04 04:00:00-05:00,67380.59
2021-01-04 04:00:00-05:00,2021-01-04 05:00:00-05:00,68318.07
2021-01-04 05:00:00-05:00,2021-01-04 06:00:00-05:00,70753.46
2021-01-04 06:00:00-05:00,2021-01-04 07:00:00-05:00,75305.51
2021-01-04 07:00:00-05:00,2021-01-04 08:00:00-05:00,80828.92
2021-01-04 08:00:00-05:00,2021-01-04 09:00:00-05:00,83642.04
2021-01-04 09:00:00-05:00,2021-01-04 10:00:00-05:00,83912.67
2021-01-04 10:00:00-05:00,2021-01-04 11:00:00-05:00,82597.24
2021-01-04 11:00:00-05:00,2021-01-04 12:00:00-05:00,81050.56
2021-01-04 12:00:00-05:00,2021-01-04 13:00:00-05:00,79412.79
2021-01-04 13:00:00-05:00,2021-01-04 14:00:00-05:00,78057.38
2021-01-04 14:00:00-05:00,2021-01-04 15:00:00-05:00,76936.88
2021-01-04 15:00:00-05:00,2021-01-04 16:00:00-05:00,75795.96
2021-01-04 16:00:00-05:00,2021-01-04 17:00:00-05:00,75861.87
2021-01-04 17:00:00-05:00,2021-01-04 18:00:00-05:00,77831.59
2021-01-04 18:00:00-05:00,2021-01-04 19:00:00-05:00,80934.4
2021-01-04 19:00:00-05:00,2021-01-04 20:00:00-05:00,81158.59
2021-01-04 20:00:00-05:00,2021-01-04 21:00:00-05:00,80179.89
2021-01-04 21:00:00-05:00,2021-01-04 22:00:00-05:00,78245.08
2021-01-04 22:00:00-05:00,2021-01-04 23:00:00-05:00,75237.54
2021-01-04 23:00:00-05:00,2021-01-05 00:00:00-05:00,71803.74
